№,Проект,Регион,Количество знаков (тысяч),URL
1,Активный горожанин Петрозаводск,Республика Карелия,"2,1",https://xn--c1ac3aaj.xn--80aegbkvxddlre.xn--p1ai/%D0%BE-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B5
2,Активный горожанин Улан-Удэ,Республика Бурятия,"4,6",https://ag.u-ude.ru/about/
3,Активный гражданин ,Калининградская область,"2,5",https://ag.gov39.ru/about/
4,Активный гражданин ,Красноярский край,"4,5",http://24ag.ru/about
5,Активный гражданин ,Москва,"11,2",https://ag.mos.ru/about-new
6,Активный гражданин ,Оренбургская область,"3,4",https://ag.orb.ru/about/
7,Активный гражданин ,Томская область,"0,5",https://ag.tomsk.ru/about
8,Активный житель 74,Челябинская область,"1,3",https://opros.gosuslugi74.ru/about
9,Активный регион,Республика Коми,"1,2",https://signal.rkomi.ru/o-portale
10,Активный Симферополь,Республика Крым,"2,4",http://xn--80aejkbfenhhpammll5bzi4a.xn--p1ai/about
11,Активный электронный гражданин,Воронежская область,"1,3",https://e-active.govvrn.ru/about
12,Алтайпредлагай,Алтайский край,"1,3",http://xn--80aaaaoeg5afme9bny.xn--p1ai/o-programme/
13,Вечевой колокол,Новгородская область,"2,4",https://vechevoikolokol.ru/
14,Вместе,Самарская область,"2,7",https://vmeste-region.ru/about
15,Все Вместе,Брянская область,"1,0",https://vsevmeste32.ru/o-portale/
16,Голос Республики Башкортостан,Республика Башкортостан,"1,9",https://golos.bashkortostan.ru/about/
17,Действуем вместе,Круская область,"1,2",https://vmeste46.ru/o-portale/
18,Добродел,Московская область,"3,1",https://dobrodel.mosreg.ru/about
19,Живём на севере,Ямало-Ненецкий автономный округ,"1,0",https://xn--80adblbabq1bk1bi8r.xn--p1ai/about/
20,Краудсорсинговая платформа Правительства Москвы,Москва,"2,2",https://crowd.mos.ru/about
21,Кузбасс Онлайн,Кемеровская область,"1,4",https://kemerovo.kuzbass-online.ru/
22,Народная экспертиза,Ленинградская область,"2,6",https://xn--80aaaogmgoxcjqhhmt5p9a.xn--p1ai/about/
23,Народная экспертиза,Белгородская область,"2,4",https://narod-expert.ru/o-portale/
24,Народный контроль,Ненецкий автономный округ,"0,8",http://narod83.ru/
25,Наш город Москва,Москва,"2,2",https://gorod.mos.ru/?show=about
26,Наш Санкт-Петербург,Санкт-Петербург,"1,6",https://gorod.gov.spb.ru/about/
27,Наш Север,Мурманская область,"3,1",https://nashsever51.ru/about
28,Наша Бурятия,Республика Бурятия,"0,9",https://voting.govrb.ru/#/about/project
29,Неравнодушный гражданин Югры,Ханты-Мансийский автономный округ,"1,1",https://ng.myopenugra.ru/about/
30,Открытое правительство Краснодарского края,Краснодарский край,"4,3",https://open.krasnodar.ru/about/
31,Открытое правительство Республики Саха,Республика Саха (Якутия),"1,3",https://open.sakha.gov.ru/opengov/front/about
32,Открытый Липецк,Липецкая область,"1,0",http://openlipetsk.ru/lipetsk.php
33,Открытый регион,Амурская область,"5,8",https://or28.amurobl.ru/o-portale-or/
34,Открытый электронный регион,Мурманская область,"3,5",https://openregion.gov-murman.ru/about/
35,Портал народного правительства,Ярославская область,"2,1",https://narod.yarregion.ru/o-portale/missiya-portala/
36,Профессиональный гражданин,Ульяновская область,"0,9",https://xn--80aahfjo8abbjlc4c.xn--p1ai/Home/About
37,Решаем вместе,Ярославская область,"2,5",http://reshaem.vmeste76.ru/about/
38,Свердловская область: Открыто!,Свердловская область,"1,2",https://opensve.midural.ru/o-portale/
39,Сделай Приморье лучше,Приморский край,"1,2",https://25prim.ru/o-portale/
40,Управляем вместе,Пермский край,"1,3",https://vmeste.permkrai.ru/about/
41,Электронная демократия,Новосибирская область,"0,9",http://www.dem.nso.ru/help
42,Эффективность власти 45,Курганская область,"2,7",https://poll.kurganobl.ru/about/
43,ЯИркутянин,Иркутская область,"1,3",https://xn--h1aafmboph8hf.xn--p1ai/#/about/project
