NAME,ID_1,Platforms
Республика Карачаево-Черкессия,9,0
Республика Карелия,10,1
Кемеровская область,45,1
Хабаровский край,31,0
Республика Хакасия,20,0
Ханты-Мансийский АОк,83,1
Республика Адыгея,1,0
Алтайский край,23,1
Амурская область,32,1
Архангельская область,33,0
Астраханская область,34,0
Республика Башкортостан,3,1
Белгородская область,35,1
Брянская область,36,1
Республика Бурятия,4,2
Чеченская Республика,21,0
Челябинская область,76,1
Чукотский АОк,84,0
Чувашская Республика,22,0
Санкт-Петербург,79,1
Республика Дагестан,5,0
Республика Алтай,2,0
Республика Ингушетия,6,0
Ивановская область,41,0
Кабардино-Балкарская Республика,7,0
Калининградская область,43,1
Республика Калмыкия,8,0
Калужская область,44,0
Кировская область,46,0
Республика Коми,11,1
Костромская область,47,0
Краснодарский край,26,1
Курганская область,48,1
Курская область,49,1
Ленинградская область,50,1
Липецкая область,51,1
Магаданская область,52,0
Республика Марий Эл,13,0
Республика Мордовия,14,0
Москва,53,3
Мурманская область,54,2
Ненецкий АОк,82,1
Нижегородская область,55,0
Республика Северная Осетия-Алания,16,0
Новгородская область,56,1
Новосибирская область,57,1
Омская область,58,0
Орловская область,60,0
Оренбургская область,59,1
Пензенская область,61,0
Приморский край,29,1
Псковская область,62,0
Ростовская область,63,0
Рязанская область,64,0
Республика Саха,15,1
Сахалинская область,67,0
Самарская область,65,1
Саратовская область,66,0
Смоленская область,69,0
Ставропольский край,30,0
Свердловская область,68,1
Тамбовская область,70,0
Республика Татарстан,17,0
Томская область,72,1
Тульская область,73,0
Республика Тыва,18,0
Тверская область,71,0
Тюменская область,74,0
Удмуртская Республика,19,0
Ульяновская область,75,1
Владимирская область,37,0
Волгоградская область,38,0
Вологодская область,39,0
Воронежская область,40,1
Ямало-Ненецкий АОк,85,1
Ярославская область,77,2
Еврейская АОб,81,0
Крым,12,1
Севастополь,80,0
Красноярский край,27,1
Забайкальский край,24,0
Иркусткая область,42,1
Пермский край,28,1
Камчатский край,25,0
Московская область,78,1
